state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_DC,pp_stloc_raw_DC,pp_fed_raw_DC,pp_total_raw_DC,pp_site_stloc_raw_DC,pp_site_fed_raw_DC,pp_site_raw_DC,pp_centshare_stloc_raw_DC,pp_centshare_fed_raw_DC,pp_centshare_raw_DC,schoolstloc_raw_DC,schoolfed_raw_DC,schooltot_raw_DC,flag_NERDS,nces_locale,nces_charter,nces_freelunch,nces_reducedlunch,nces_poverty,nces_address,nces_city,nces_zip
DC,2023-2024,129,237,KIPP DC PCS,KIPP DC - Quest Academy PCS,1100031,1100031,NA,110003100488,390,01-04,2,390,22114.28736,4399.330923,26513.61828,18294.36897,3628.677897,21923.04687,3819.918385,770.6530256,4590.57141,8624572.07,1715739.06,10340311.13,0,11-City: Large,1-Yes,NA,NA,NA,5300 BLAINE STREET NE,Washington,20019
DC,2023-2024,129,214,KIPP DC PCS,KIPP DC - Spring Academy PCS,1100031,1100031,NA,110003100469,376,01-04,2,376,22418.99359,5183.537846,27602.53144,18599.07519,4412.88484,23011.96003,3819.918404,770.6530053,4590.57141,8429541.59,1949010.23,10378551.82,0,11-City: Large,1-Yes,NA,NA,NA,1375 MOUNT OLIVET ROAD NE,Washington,20002
DC,2023-2024,129,243,KIPP DC PCS,KIPP DC - Valor Academy PCS,1100031,1100031,NA,110003100486,336,05-08,3,336,23537.71137,4215.590744,27753.30211,19717.79298,3444.937738,23162.73071,3819.918393,770.653006,4590.571399,7908671.02,1416438.49,9325109.51,0,11-City: Large,1-Yes,NA,NA,NA,5300 BLAINE STREET NE,Washington,20019
DC,2023-2024,129,121,KIPP DC PCS,KIPP DC - WILL Academy PCS,1100031,1100031,NA,110003100376,323,05-08,3,323,23444.4691,4643.797276,28088.26638,19624.55071,3873.144272,23497.69498,3819.91839,770.6530031,4590.571393,7572563.52,1499946.52,9072510.04,0,11-City: Large,1-Yes,NA,NA,NA,421 P STREET NW,Washington,20001
DC,2023-2024,129,1086,KIPP DC PCS,KIPP DC PCS - Legacy College Preparatory PCS,1100031,1100031,NA,110003100523,495,09-12,4,495,29470.84747,5312.799636,34783.64711,25650.92907,4542.146626,30193.0757,3819.918404,770.6530101,4590.571414,14588069.5,2629835.82,17217905.32,0,11-City: Large,1-Yes,NA,NA,NA,3999 8TH STREET SE,Washington,20032
DC,2023-2024,130,193,Latin American Montessori Bilingual PCS,Latin American Montessori Bilingual PCS,1100032,1100032,NA,110003200247,555,PK-05,2,555,22218.09189,737.1531532,22955.24505,22218.09189,737.1531532,22955.24505,0,0,0,12331041,409120,12740161,0,11-City: Large,1-Yes,NA,NA,NA,5000 14TH STREET NW,Washington,20011
DC,2023-2024,172,104,LAYC Career Academy PCS,LAYC Career Academy PCS,NA,NA,NA,NA,NA,NA,NA,149,22917.76503,1622.982081,24540.74711,22917.76503,1622.982081,24540.74711,0,0,0,3414746.99,241824.33,3656571.32,0,NA,NA,NA,NA,NA,NA,NA,NA
DC,2023-2024,358,1172,LEARN DC PCS,LEARN DC PCS,1100117,1100117,NA,110011700546,249,PK-03,2,249,25608.97992,11305.80321,36914.78313,25608.97992,11305.80321,36914.78313,0,0,0,6376636,2815145,9191781,1,11-City: Large,1-Yes,NA,NA,NA,100 DUNCAN STREET SW,Washington,20032
DC,2023-2024,177,228,Lee Montessori PCS,Lee Montessori PCS - Brookland,1100093,1100093,NA,110009300476,286,PK-06,2,286,25169.47507,709.6318531,25879.10692,25169.47507,709.6318531,25879.10692,0,0,0,7198469.87,202954.71,7401424.58,0,11-City: Large,1-Yes,NA,NA,NA,3025 4TH STREET NE,Washington,20017
DC,2023-2024,177,1141,Lee Montessori PCS,Lee Montessori PCS - East End,1100093,1100093,NA,110009300525,216,PK-03,2,216,25052.94972,706.3465278,25759.29625,25052.94972,706.3465278,25759.29625,0,0,0,5411437.14,152570.85,5564007.99,0,11-City: Large,1-Yes,NA,NA,NA,2345 R STREET SE,Washington,20020
DC,2023-2024,132,135,Mary McLeod Bethune Day Academy PCS,Mary McLeod Bethune Day Academy PCS,1100044,1100044,NA,110004400275,361,PK-08,3,361,29157.8051,5423.196676,34581.00177,29157.8051,5423.196676,34581.00177,0,0,0,10525967.64,1957774,12483741.64,0,11-City: Large,1-Yes,NA,NA,NA,1404 JACKSON STREET NE,Washington,20017
DC,2023-2024,133,101,Maya Angelou PCS,Maya Angelou PCS - High School,1100014,1100014,NA,110001400391,224,09-12,4,224,47083.125,2910.25,49993.375,42763.85268,2910.25,45674.10268,4319.272321,0,4319.272321,10546620,651896,11198516,1,11-City: Large,1-Yes,NA,NA,NA,5600 EAST CAPITOL STREET NE,Washington,20019
DC,2023-2024,133,137,Maya Angelou PCS,Maya Angelou PCS - Young Adult Learning Center,1100014,1100014,NA,NA,NA,NA,NA,299,19710.65552,1313.67893,21024.33445,15391.38462,1313.67893,16705.06355,4319.270903,0,4319.270903,5893486,392790,6286276,0,NA,NA,NA,NA,NA,NA,NA,NA
DC,2023-2024,135,165,Meridian PCS,Meridian PCS,1100015,1100015,NA,110001500229,621,PK-08,3,621,27076.60122,5465.560274,32542.1615,27076.60122,5465.560274,32542.1615,0,0,0,16814569.36,3394112.93,20208682.29,0,11-City: Large,1-Yes,NA,NA,NA,2120 13TH STREET NW,Washington,20009
DC,2023-2024,184,260,Monument Academy PCS,Monument Academy PCS,1100100,1100100,NA,110010000500,127,05-08,3,127,77183.11811,16482.35433,93665.47244,77183.11811,16482.35433,93665.47244,0,0,0,9802256,2093259,11895515,1,11-City: Large,1-Yes,NA,NA,NA,500 19TH STREET NE,Washington,20002
DC,2023-2024,171,1088,Mundo Verde Bilingual PCS,Mundo Verde Bilingual PCS - Calle Ocho,1100086,1100086,NA,110008600527,498,PK-04,2,498,29780.72122,1677.273092,31457.99432,24001.85116,1677.273092,25679.12426,5778.87006,0,5778.87006,14830799.17,835282,15666081.17,0,11-City: Large,1-Yes,NA,NA,NA,4401 8TH STREET NE,Washington,20017
DC,2023-2024,171,3065,Mundo Verde Bilingual PCS,Mundo Verde Bilingual PCS - J.F. Cook,1100086,1100086,NA,110008600444,530,PK-05,2,530,25830.12919,1454.771698,27284.90089,19947.6756,1454.771698,21402.4473,5882.453585,0,5882.453585,13689968.47,771029,14460997.47,0,11-City: Large,1-Yes,NA,NA,NA,30 P STREET NW,Washington,20001
DC,2023-2024,220,2221,OSSE Academy,OSSE Academy Elementary School,NA,NA,NA,NA,NA,NA,NA,248,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
DC,2023-2024,220,2223,OSSE Academy,OSSE Academy High School,NA,NA,NA,NA,NA,NA,NA,215,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
DC,2023-2024,220,2222,OSSE Academy,OSSE Academy Middle School,NA,NA,NA,NA,NA,NA,NA,245,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
DC,2023-2024,138,222,Paul PCS,Paul PCS - International High School,1100039,1100039,NA,110003900477,438,09-12,4,438,28047.75993,4764.511324,32812.27126,28047.75993,4764.511324,32812.27126,0,0,0,12284918.85,2086855.96,14371774.81,0,11-City: Large,1-Yes,NA,NA,NA,5800 8TH STREET NW,Washington,20011
DC,2023-2024,138,170,Paul PCS,Paul PCS - Middle School,1100039,1100039,NA,110003900257,313,05-08,3,313,28047.75767,4764.51131,32812.26898,28047.75767,4764.51131,32812.26898,0,0,0,8778948.15,1491292.04,10270240.19,0,11-City: Large,1-Yes,NA,NA,NA,5800 8TH STREET NW,Washington,20011
DC,2023-2024,125,161,Perry Street Preparatory PCS,Perry Street Preparatory PCS,1100011,1100011,NA,110001100225,455,PK-08,3,455,27515.56703,3235.764835,30751.33187,27515.56703,3235.764835,30751.33187,0,0,0,12519583,1472273,13991856,0,11-City: Large,1-Yes,NA,NA,NA,1800 PERRY STREET NE,Washington,20018
DC,2023-2024,167,3067,Richard Wright PCS for Journalism and Media Arts,Richard Wright PCS for Journalism and Media Arts,1100082,1100082,NA,110008200441,309,08-12,4,309,29539.30097,3041.252427,32580.5534,29539.30097,3041.252427,32580.5534,0,0,0,9127644,939747,10067391,0,11-City: Large,1-Yes,NA,NA,NA,475 SCHOOL STREET SW,Washington,20024
DC,2023-2024,191,1150,Rocketship Education DC PCS,Rocketship PCS - Infinity Community Prep,1100106,1100106,NA,110010600534,341,PK-05,2,341,33153.1261,4700.554252,37853.68035,30017.71848,4088.914956,34106.63343,3135.407625,611.6392962,3747.046921,11305216,1602889,12908105,0,11-City: Large,1-Yes,NA,NA,NA,5450 3RD STREET NE,WASHINGTON,20011
DC,2023-2024,191,1016,Rocketship Education DC PCS,Rocketship PCS - Legacy Prep,1100106,1100106,NA,110010600514,609,PK-05,2,609,23930.41544,3326.01642,27256.43186,20911.35796,2938.254516,23849.61248,3019.057471,387.7619048,3406.819376,14573623,2025544,16599167,0,11-City: Large,1-Yes,NA,NA,NA,4250 MASSACHUSETTS AVENUE SE,Washington,20019
DC,2023-2024,191,286,Rocketship Education DC PCS,Rocketship PCS - Rise Academy,1100106,1100106,NA,110010600509,428,PK-05,2,428,27915.6986,3547.273364,31462.97196,24834.78037,3146.89486,27981.67523,3080.918224,400.3785047,3481.296729,11947919,1518233,13466152,0,11-City: Large,1-Yes,NA,NA,NA,2335 RAYNOLDS PLACE SE,Washington,20020
DC,2023-2024,140,173,Roots PCS,Roots PCS,1100020,1100020,NA,110002000234,80,PK-05,2,80,31132.875,940.9625,32073.8375,31132.875,940.9625,32073.8375,0,0,0,2490630,75277,2565907,0,11-City: Large,1-Yes,NA,NA,NA,15 KENNEDY STREET NW,Washington,20011
DC,2023-2024,142,174,SEED PCS,The SEED PCS of Washington DC,1100022,1100022,NA,110002200236,252,09-12,4,252,62814.80556,4795.107143,67609.9127,62814.80556,4795.107143,67609.9127,0,0,0,15829331,1208367,17037698,1,11-City: Large,1-Yes,NA,NA,NA,4300 C STREET SE,Washington,20019
DC,2023-2024,174,197,Sela PCS,Sela PCS,1100088,1100088,NA,110008800461,285,PK-05,2,285,26610.18596,1687.452632,28297.6386,26610.18596,1687.452632,28297.6386,0,0,0,7583903,480924,8064827,0,11-City: Large,1-Yes,NA,NA,NA,6015 CHILLUM PLACE NE,Washington,20011
DC,2023-2024,166,3066,Shining Stars Montessori Academy PCS,Shining Stars Montessori Academy PCS,1100081,1100081,NA,110008100442,215,PK-06,2,215,25455.40465,2266.52093,27721.92558,25455.40465,2266.52093,27721.92558,0,0,0,5472912,487302,5960214,0,11-City: Large,1-Yes,NA,NA,NA,1240 RANDOLPH STREET NE,Washington,20017
DC,2023-2024,350,1148,Social Justice PCS,Social Justice PCS,1100115,1100115,NA,110011500539,124,05-08,3,124,28282.78645,7314.970161,35597.75661,28282.78645,7314.970161,35597.75661,0,0,0,3507065.52,907056.3,4414121.82,0,11-City: Large,1-Yes,NA,NA,NA,5450 3RD STREET NE,Washington,20011
DC,2023-2024,143,1047,St. Coletta Special Education PCS,St. Coletta Special Education PCS,1100064,1100064,NA,110006400367,251,PK-12,4,251,84766.30279,1156.964143,85923.26693,84766.30279,1156.964143,85923.26693,0,0,0,21276342,290398,21566740,1,11-City: Large,1-Yes,NA,NA,NA,1901 INDEPENDENCE AVENUE SE,Washington,20003
DC,2023-2024,314,1037,Statesmen College Preparatory Academy for Boys PCS,Statesmen College Preparatory  Academy for Boys PCS,1100110,1100110,NA,110011000518,307,04-08,3,307,29695.57329,4774.850163,34470.42345,29695.57329,4774.850163,34470.42345,0,0,0,9116541,1465879,10582420,0,11-City: Large,1-Yes,NA,NA,NA,4600 LIVINGSTON ROAD SE,Washington,20032
DC,2023-2024,188,255,The Children's Guild DC PCS,The Children's Guild DC PCS,1100101,1100101,NA,110010100499,230,K-08,3,230,48536.43422,3896.513609,52432.94783,48536.43422,3896.513609,52432.94783,0,0,0,11163379.87,896198.13,12059578,1,11-City: Large,1-Yes,NA,NA,NA,2146 24TH PLACE NE,Washington,20018
DC,2023-2024,303,1036,The Family Place PCS,The Family Place PCS,NA,NA,NA,NA,NA,NA,NA,193,12778.33679,847.2124352,13625.54922,12778.33679,847.2124352,13625.54922,0,0,0,2466219,163512,2629731,0,NA,NA,NA,NA,NA,NA,NA,NA
DC,2023-2024,145,168,The Next Step/El Proximo Paso PCS,The Next Step/El Proximo Paso PCS,NA,NA,NA,NA,NA,NA,NA,510,18348.57057,524.5708627,18873.14143,18348.57057,524.5708627,18873.14143,0,0,0,9357770.99,267531.14,9625302.13,0,NA,NA,NA,NA,NA,NA,NA,NA
DC,2023-2024,323,1144,The Sojourner Truth School PCS,The Sojourner Truth School PCS,1100111,1100111,NA,110011100535,284,06-10,4,284,26627.33387,1383.39419,28010.72806,26627.33387,1383.39419,28010.72806,0,0,0,7562162.82,392883.95,7955046.77,0,11-City: Large,1-Yes,NA,NA,NA,1800 PERRY STREET NE,Washington,20018
DC,2023-2024,146,191,Thurgood Marshall Academy PCS,Thurgood Marshall Academy PCS,1100034,1100034,NA,110003400249,338,09-12,4,338,32934.68743,5408.523757,38343.21118,32934.68743,5408.523757,38343.21118,0,0,0,11131924.35,1828081.03,12960005.38,0,11-City: Large,1-Yes,NA,NA,NA,2427 MARTIN LUTHER KING JR AVENUE SE,Washington,20020
DC,2023-2024,149,198,Two Rivers PCS,Two Rivers PCS - 4th Street,1100045,1100045,NA,110004500279,390,PK-05,2,390,24767.86997,1400.061103,26167.93108,22432.31849,1399.616897,23831.93538,2335.551487,0.4442051282,2335.995692,9659469.29,546023.83,10205493.12,0,11-City: Large,1-Yes,NA,NA,NA,1227 4TH STREET NE,Washington,20002
DC,2023-2024,149,270,Two Rivers PCS,Two Rivers PCS - Young Elementary School,1100045,1100045,NA,110004500498,378,PK-05,2,378,24767.87,1400.061111,26167.93111,22432.31849,1399.616905,23831.9354,2335.551508,0.4442063492,2335.995714,9362254.86,529223.1,9891477.96,0,11-City: Large,1-Yes,NA,NA,NA,820 26TH STREET NE,Washington,20002
DC,2023-2024,149,1152,Two Rivers PCS,Two Rivers PCS - Young Middle School,1100045,1100045,NA,110004500533,254,06-08,3,254,24767.86996,1400.061102,26167.93106,22432.31846,1399.61689,23831.93535,2335.551496,0.4442125984,2335.995709,6291038.97,355615.52,6646654.49,0,11-City: Large,1-Yes,NA,NA,NA,830 26TH STREET NE,Washington,20002
DC,2023-2024,185,263,Washington Global PCS,Washington Global PCS,1100102,1100102,NA,110010200503,219,06-08,3,219,22967.34027,5292.795525,28260.1358,22967.34027,5292.795525,28260.1358,0,0,0,5029847.52,1159122.22,6188969.74,0,11-City: Large,1-Yes,NA,NA,NA,525 SCHOOL STREET SW,Washington,20024
DC,2023-2024,151,1292,Washington Latin PCS,Washington Latin PCS - Anna Julia Cooper Middle School,1100019,1100019,NA,110001900779,285,05-07,3,285,23010.57712,837.9874035,23848.56453,23010.57712,837.9874035,23848.56453,0,0,0,6558014.48,238826.41,6796840.89,0,11-City: Large,1-Yes,NA,NA,NA,711 EDGEWOOD STREET NE,Washington,20011
DC,2023-2024,151,125,Washington Latin PCS,Washington Latin PCS - Middle School,1100019,1100019,NA,110001900324,393,05-08,3,393,23010.5771,837.9874046,23848.5645,23010.5771,837.9874046,23848.5645,0,0,0,9043156.8,329329.05,9372485.85,0,11-City: Large,1-Yes,NA,NA,NA,5200 2ND STREET NW,Washington,20011
DC,2023-2024,151,1118,Washington Latin PCS,Washington Latin PCS - Upper School,1100019,1100019,NA,110001900423,356,09-12,4,356,23010.57711,837.9874157,23848.56452,23010.57711,837.9874157,23848.56452,0,0,0,8191765.45,298323.52,8490088.97,0,11-City: Large,1-Yes,NA,NA,NA,5200 2ND STREET NW,Washington,20011
DC,2023-2024,194,283,Washington Leadership Academy PCS,Washington Leadership Academy PCS,1100103,1100103,NA,110010300510,398,09-12,4,398,29142.30457,4804.078995,33946.38357,0,4804.078995,4804.078995,29142.30457,0,29142.30457,11598637.22,1912023.44,13510660.66,1,11-City: Large,1-Yes,NA,NA,NA,3015 4TH STREET NE,Washington,20017
DC,2023-2024,160,1117,Washington Yu Ying PCS,Washington Yu Ying PCS,1100077,1100077,NA,110007700411,634,PK-05,2,634,23292.00795,1348.093722,24640.10167,23292.00795,1348.093722,24640.10167,0,0,0,14767133.04,854691.42,15621824.46,0,11-City: Large,1-Yes,NA,NA,NA,220 TAYLOR STREET NE,Washington,20017
DC,2023-2024,131,128,YouthBuild DC PCS,YouthBuild DC PCS,NA,NA,NA,NA,NA,NA,NA,133,29321.06015,4617.977444,33939.03759,29321.06015,4617.977444,33939.03759,0,0,0,3899701,614191,4513892,0,NA,NA,NA,NA,NA,NA,NA,NA
