School Name,State Name [Public School] Latest available year,State Name [Public School] 2023-24,State Abbr [Public School] Latest available year,School Name [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (12-digit) - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year,County Name [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24,Location ZIP [Public School] 2023-24,Location ZIP4 [Public School] 2023-24
DISTRICT OF COLUMBIA INTERNATIONAL SCHOOL,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,District of Columbia International School,1100492,1.1001E+11,11,District of Columbia,423,322,1,154,1617,670,46,1,–,–,–,10.63,20012,    
DOROTHY I. HEIGHT ES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Dorothy I. Height ES,1100504,1.10003E+11,11,District of Columbia,203,34,0,2,396,143,13,1,–,–,–,8.7,20011,    
DREW ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Drew ES,1100097,1.10003E+11,11,District of Columbia,176,3,0,0,189,10,0,0,–,–,–,7.71,20019,    
DUKE ELLINGTON SCHOOL OF THE ARTS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Duke Ellington School of the Arts,1100016,1.10003E+11,11,District of Columbia,371,90,0,27,571,77,6,0,–,–,–,48.25,20007,    
DUNBAR HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Dunbar HS,1100079,1.10003E+11,11,District of Columbia,876,3,0,0,982,100,3,0,–,–,–,12.95,20001,    
E.L. HAYNES PCS - ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,E.L. Haynes PCS - ES,1100472,1.10004E+11,11,District of Columbia,108,77,0,22,357,145,1,4,–,–,–,10.2,20011,    
E.L. HAYNES PCS - HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,E.L. Haynes PCS - HS,1100433,1.10004E+11,11,District of Columbia,121,4,0,11,439,300,1,2,–,–,–,8.78,20011,    
E.L. HAYNES PCS - MS,District of Columbia,DISTRICT OF COLUMBIA,DC ,E.L. Haynes PCS - MS,1100274,1.10004E+11,11,District of Columbia,109,11,0,3,377,253,1,0,–,–,–,11.6,20010,    
EAGLE ACADEMY PCS - CAPITOL RIVERFRONT,District of Columbia,DISTRICT OF COLUMBIA,DC ,Eagle Academy PCS - Capitol Riverfront,1100434,1.10005E+11,11,District of Columbia,121,2,0,0,123,0,0,0,–,–,–,10.25,20536,    
EAGLE ACADEMY PCS - CONGRESS HEIGHTS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Eagle Academy PCS - Congress Heights,1100278,1.10005E+11,11,District of Columbia,264,0,0,1,269,4,0,0,–,–,–,8.97,20032,    
