School Name,State Name [Public School] Latest available year,State Name [Public School] 2023-24,State Abbr [Public School] Latest available year,School Name [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (12-digit) - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year,County Name [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24,Location ZIP [Public School] 2023-24,Location ZIP4 [Public School] 2023-24
KIPP DC - CONNECT ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - Connect Academy PCS,1100468,1.10003E+11,11,District of Columbia,252,0,0,0,270,16,1,1,–,–,–,12.33,20002,    
KIPP DC - DISCOVER ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - Discover Academy PCS,1100427,1.10003E+11,11,District of Columbia,310,1,0,0,319,7,0,1,–,–,–,15.26,20020,    
KIPP DC - GROW ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - Grow Academy PCS,1100432,1.10003E+11,11,District of Columbia,221,8,0,0,236,7,0,0,–,–,–,13.18,20001,    
KIPP DC - HEIGHTS ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - Heights Academy PCS,1100452,1.10003E+11,11,District of Columbia,453,0,1,0,458,4,0,0,–,–,–,13.33,20020,    
KIPP DC - HONOR ACADEMY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,KIPP DC - Honor Academy PCS,1100522,1.10003E+11,11,District of Columbia,328,1,0,0,334,5,0,0,–,–,–,12.57,20032,    
KIPP DC - INSPIRE ACADEMY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,KIPP DC - Inspire Academy PCS,1100542,1.10003E+11,11,District of Columbia,235,0,0,1,237,1,0,0,–,–,–,12.21,20032,    
KIPP DC - KEY ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - KEY Academy PCS,1100246,1.10003E+11,11,District of Columbia,389,0,0,1,409,19,0,0,–,–,–,12.62,20019,    
KIPP DC - LEAD ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - Lead Academy PCS,1100463,1.10003E+11,11,District of Columbia,359,3,0,0,370,7,0,1,–,–,–,11.79,20001,    
KIPP DC - LEAP ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - LEAP Academy PCS,1100375,1.10003E+11,11,District of Columbia,218,1,–,–,224,5,–,–,–,–,–,15.17,20019,    
KIPP DC - NORTHEAST ACADEMY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,KIPP DC - Northeast Academy PCS,1100487,1.10003E+11,11,District of Columbia,343,1,0,0,355,11,0,0,–,–,–,12.87,20002,    
KIPP DC - PRIDE ACADEMY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,KIPP DC - Pride Academy PCS,1100541,1.10003E+11,11,District of Columbia,156,0,0,0,166,8,0,2,–,–,–,14.03,20032,    
KIPP DC - PROMISE ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - Promise Academy PCS,1100419,1.10003E+11,11,District of Columbia,596,0,1,1,621,22,0,1,–,–,–,14.12,20019,    
KIPP DC - QUEST ACADEMY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,KIPP DC - Quest Academy PCS,1100488,1.10003E+11,11,District of Columbia,375,0,0,0,390,11,3,1,–,–,–,13.81,20019,    
KIPP DC - SPRING ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - Spring Academy PCS,1100469,1.10003E+11,11,District of Columbia,369,0,1,0,376,6,0,0,–,–,–,12.39,20002,    
KIPP DC - VALOR ACADEMY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,KIPP DC - Valor Academy PCS,1100486,1.10003E+11,11,District of Columbia,329,3,0,0,336,2,2,0,–,–,–,11.36,20019,    
KIPP DC - WILL ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,KIPP DC - WILL Academy PCS,1100376,1.10003E+11,11,District of Columbia,318,0,0,0,323,5,0,0,–,–,–,11.3,20001,    
KIPP DC PCS - LEGACY COLLEGE PREPARATORY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,KIPP DC PCS - Legacy College Preparatory PCS,1100523,1.10003E+11,11,District of Columbia,493,0,0,0,495,2,0,0,–,–,–,10.12,20032,    
KRAMER MS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Kramer MS,1100143,1.10003E+11,11,District of Columbia,189,0,0,2,197,6,0,0,–,–,–,8.57,20020,    
LAFAYETTE ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Lafayette ES,1100045,1.10003E+11,11,District of Columbia,86,669,1,69,933,76,30,2,–,–,–,15.17,20015,    
LANGDON ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Langdon ES,1100044,1.10003E+11,11,District of Columbia,263,12,0,5,390,109,1,0,–,–,–,10.83,20018,    
LANGLEY ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Langley ES,1100445,1.10003E+11,11,District of Columbia,227,60,0,4,348,47,10,0,–,–,–,10.71,20002,    
LASALLE-BACKUS ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,LaSalle-Backus ES,1100042,1.10003E+11,11,District of Columbia,128,13,0,3,261,115,2,0,–,–,–,8.34,20011,    
LATIN AMERICAN MONTESSORI BILINGUAL PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Latin American Montessori Bilingual PCS,1100247,1.10003E+11,11,District of Columbia,82,247,0,52,552,157,14,0,–,–,–,9.88,20011,    
LAWRENCE E. BOONE ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Lawrence E. Boone ES,1100161,1.10003E+11,11,District of Columbia,418,1,0,5,436,12,0,0,–,–,–,13.11,20020,    
LEARN DC PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,LEARN DC PCS,1100546,1.10012E+11,11,District of Columbia,83,64,1,35,249,59,7,0,–,–,–,11.12,20032,    
LECKIE EDUCATION CAMPUS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Leckie Education Campus,1100041,1.10003E+11,11,District of Columbia,421,13,0,10,458,13,0,1,–,–,–,11.59,20032,    
LEE MONTESSORI PCS - BROOKLAND,District of Columbia,DISTRICT OF COLUMBIA,DC ,Lee Montessori PCS - Brookland,1100476,1.10009E+11,11,District of Columbia,104,114,0,28,286,31,8,1,–,–,–,18.87,20017,    
LEE MONTESSORI PCS - EAST END,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Lee Montessori PCS - East End,1100525,1.10009E+11,11,District of Columbia,167,21,1,9,216,16,0,2,–,–,–,18,20020,    
LORRAINE H. WHITLOCK ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Lorraine H. Whitlock ES,1100122,1.10003E+11,11,District of Columbia,134,0,1,0,146,11,0,0,–,–,–,8.11,20019,    
LUDLOW-TAYLOR ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Ludlow-Taylor ES,1100037,1.10003E+11,11,District of Columbia,170,227,1,45,488,33,10,2,–,–,–,13.17,20002,    
LUKE C. MOORE HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Luke C. Moore HS,1100198,1.10003E+11,11,District of Columbia,251,1,0,0,263,11,0,0,–,–,–,13.13,20017,    
MACARTHUR HS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,MacArthur HS,1100780,1.10003E+11,11,District of Columbia,135,52,1,8,238,36,6,0,–,–,–,11.87,20007,    
MACFARLAND MS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,MacFarland MS,1100511,1.10003E+11,11,District of Columbia,206,8,0,7,499,271,5,2,–,–,–,9.33,20011,    
MALCOLM X ES AT GREEN,District of Columbia,DISTRICT OF COLUMBIA,DC ,Malcolm X ES at Green,1100036,1.10003E+11,11,District of Columbia,194,0,0,0,200,6,0,0,–,–,–,8.33,20032,    
MANN ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Mann ES,1100035,1.10003E+11,11,District of Columbia,39,255,0,12,393,62,25,0,–,–,–,11.94,20016,    
MARIE REED ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Marie Reed ES,1100032,1.10003E+11,11,District of Columbia,90,101,0,20,452,203,37,1,–,–,–,10.86,20009,    
MARY MCLEOD BETHUNE DAY ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Mary McLeod Bethune Day Academy PCS,1100275,1.10004E+11,11,District of Columbia,230,20,0,13,361,94,4,0,–,–,–,8.02,20017,    
MAURY ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Maury ES,1100034,1.10003E+11,11,District of Columbia,104,329,1,50,549,48,17,0,–,–,–,14.64,20002,    
MAYA ANGELOU ACADEMY AT NEW BEGINNINGS FORMERLY OAK HILL,District of Columbia,DISTRICT OF COLUMBIA,DC ,Maya Angelou Academy at New Beginnings formerly Oak Hill,1100213,1.10009E+11,11,Anne Arundel County,34,0,0,0,36,2,0,0,–,–,–,3.79,20724,    
MAYA ANGELOU ACADEMY AT YOUTH SERVICES CENTER,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Maya Angelou Academy at Youth Services Center,1100547,1.10009E+11,11,District of Columbia,0,0,0,0,0,0,0,0,†,†,†,0,20002,    
MAYA ANGELOU PCS - HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Maya Angelou PCS - HS,1100391,1.10001E+11,11,District of Columbia,221,1,0,0,224,2,0,0,–,–,–,10.67,20019,    
MCKINLEY MS,District of Columbia,DISTRICT OF COLUMBIA,DC ,McKinley MS,1100470,1.10003E+11,11,District of Columbia,217,0,0,1,263,43,1,1,–,–,–,10.96,20002,    
MCKINLEY TECHNOLOGY HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,McKinley Technology HS,1100267,1.10003E+11,11,District of Columbia,583,23,0,7,703,86,4,0,–,–,–,14.43,20002,    
MERIDIAN PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Meridian PCS,1100229,1.10002E+11,11,District of Columbia,411,16,1,2,621,185,5,1,–,–,–,10.02,20009,    
MILITARY ROAD EARLY LEARNING CENTER,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Military Road Early Learning Center,1100540,1.10003E+11,11,District of Columbia,38,10,0,2,67,17,0,0,–,–,–,5.36,20011,    
MINER ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Miner ES,1100004,1.10003E+11,11,District of Columbia,323,51,0,10,410,25,1,0,–,–,–,11.08,20002,    
MONUMENT ACADEMY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Monument Academy PCS,1100500,1.1001E+11,11,District of Columbia,124,0,0,0,127,3,0,0,–,–,–,7.47,20002,    
MOTEN ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Moten ES,1100002,1.10003E+11,11,District of Columbia,231,0,0,3,238,4,0,0,–,–,–,8.21,20020,    
MUNDO VERDE BILINGUAL PCS - CALLE OCHO,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Mundo Verde Bilingual PCS - Calle Ocho,1100527,1.10009E+11,11,District of Columbia,100,174,1,69,498,144,8,2,–,–,–,14.23,20017,    
MUNDO VERDE BILINGUAL PCS - J.F. COOK,District of Columbia,DISTRICT OF COLUMBIA,DC ,Mundo Verde Bilingual PCS - J.F. Cook,1100444,1.10009E+11,11,District of Columbia,147,124,0,53,530,199,7,0,–,–,–,12.33,20001,    
MURCH ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Murch ES,1100001,1.10003E+11,11,District of Columbia,102,359,1,45,635,74,51,3,–,–,–,13.53,20008,    
NALLE ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Nalle ES,1100163,1.10003E+11,11,District of Columbia,268,0,0,2,307,37,0,0,–,–,–,8.9,20019,    
NOYES ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Noyes ES,1100164,1.10003E+11,11,District of Columbia,220,10,0,2,288,56,0,0,–,–,–,10.29,20018,    
OYSTER-ADAMS BILINGUAL SCHOOL,District of Columbia,DISTRICT OF COLUMBIA,DC ,Oyster-Adams Bilingual School,1100160,1.10003E+11,11,District of Columbia,23,300,0,44,781,388,26,0,–,–,–,11.99,20008,    
PATTERSON ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Patterson ES,1100158,1.10003E+11,11,District of Columbia,250,0,0,1,253,2,0,0,–,–,–,7.78,20032,    
PAUL PCS - INTERNATIONAL HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Paul PCS - International HS,1100477,1.10004E+11,11,District of Columbia,203,2,0,2,438,226,5,0,–,–,–,9.13,20011,    
PAUL PCS - MS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Paul PCS - MS,1100257,1.10004E+11,11,District of Columbia,147,1,0,1,313,164,0,0,–,–,–,8.94,20011,    
PAYNE ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Payne ES,1100157,1.10003E+11,11,District of Columbia,193,129,0,24,375,27,2,0,–,–,–,13.91,20003,    
PEABODY ES (CAPITOL HILL CLUSTER),District of Columbia,DISTRICT OF COLUMBIA,DC ,Peabody ES (Capitol Hill Cluster),1100156,1.10003E+11,11,District of Columbia,69,121,1,6,215,13,5,0,–,–,–,12.29,20002,    
PERRY STREET PREPARATORY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Perry Street Preparatory PCS,1100225,1.10001E+11,11,District of Columbia,385,4,1,4,454,54,3,3,–,–,–,10.34,20018,    
PHELPS ARCHITECTURE CONSTRUCTION AND ENGINEERING HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Phelps Architecture Construction and Engineering HS,1100407,1.10003E+11,11,District of Columbia,276,3,0,3,310,26,2,0,–,–,–,10.2,20002,    
PLUMMER ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Plummer ES,1100126,1.10003E+11,11,District of Columbia,187,0,0,0,224,37,0,0,–,–,–,8.62,20019,    
POWELL ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Powell ES,1100125,1.10003E+11,11,District of Columbia,60,55,0,12,493,361,5,0,–,–,–,10.92,20011,    
RANDLE HIGHLANDS ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Randle Highlands ES,1100029,1.10003E+11,11,District of Columbia,289,0,0,0,300,7,1,3,–,–,–,11.09,20020,    
RAYMOND ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Raymond ES,1100033,1.10003E+11,11,District of Columbia,179,8,0,4,400,206,3,0,–,–,–,9.41,20010,    
RICHARD WRIGHT PCS FOR JOURNALISM AND MEDIA ARTS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Richard Wright PCS for Journalism and Media Arts,1100441,1.10008E+11,11,District of Columbia,303,0,0,0,309,6,0,0,–,–,–,12.88,20024,    
RIVER TERRACE EDUCATION CAMPUS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,River Terrace Education Campus,1100506,1.10003E+11,11,District of Columbia,107,1,0,1,120,11,0,0,–,–,–,5.58,20019,    
ROCKETSHIP PCS - INFINITY COMMUNITY PREP,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Rocketship PCS - Infinity Community Prep,1100534,1.10011E+11,11,District of Columbia,240,7,1,5,341,83,2,3,–,–,–,15.54,20011,    
ROCKETSHIP PCS - LEGACY PREP,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Rocketship PCS - Legacy Prep,1100514,1.10011E+11,11,District of Columbia,589,0,0,4,609,16,0,0,–,–,–,17.38,20019,    
ROCKETSHIP PCS - RISE ACADEMY,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Rocketship PCS - Rise Academy,1100509,1.10011E+11,11,District of Columbia,420,0,0,4,427,3,0,0,–,–,–,18.25,20020,    
RON BROWN COLLEGE PREPARATORY HS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Ron Brown College Preparatory HS,1100512,1.10003E+11,11,District of Columbia,152,0,0,4,161,5,0,0,–,–,–,5.57,20019,    
ROOSEVELT HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Roosevelt HS,1100008,1.10003E+11,11,District of Columbia,480,9,0,1,908,412,6,0,–,–,–,11.6,20011,    
ROOSEVELT STAY HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Roosevelt STAY HS,1100264,1.10003E+11,11,District of Columbia,214,2,0,2,407,189,0,0,–,–,–,8.36,20001,    
ROOTS PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Roots PCS,1100234,1.10002E+11,11,District of Columbia,78,0,0,1,80,1,0,0,–,–,–,9.41,20011,    
ROSS ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Ross ES,1100027,1.10003E+11,11,District of Columbia,19,115,0,15,182,21,12,0,–,–,–,8.88,20009,    
SAVOY ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Savoy ES,1100025,1.10003E+11,11,District of Columbia,189,0,0,0,199,10,0,0,–,–,–,7.37,20020,    
SCHOOL WITHOUT WALLS AT FRANCIS-STEVENS,District of Columbia,DISTRICT OF COLUMBIA,DC ,School Without Walls at Francis-Stevens,1100149,1.10003E+11,11,District of Columbia,265,79,0,17,529,110,54,4,–,–,–,10.15,20001,    
SCHOOL WITHOUT WALLS HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,School Without Walls HS,1100131,1.10003E+11,11,District of Columbia,151,283,0,54,593,66,39,0,–,–,–,15.97,20037,    
SCHOOL-WITHIN-SCHOOL AT GODING,District of Columbia,DISTRICT OF COLUMBIA,DC ,School-Within-School at Goding,1100466,1.10003E+11,11,District of Columbia,91,159,1,45,325,21,8,0,–,–,–,10.82,20002,    
SEATON ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Seaton ES,1100024,1.10003E+11,11,District of Columbia,110,82,0,4,377,145,35,1,–,–,–,9.31,20001,    
SELA PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Sela PCS,1100461,1.10009E+11,11,District of Columbia,159,81,0,16,285,28,1,0,–,–,–,7.13,20011,    
SHEPHERD ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Shepherd ES,1100030,1.10003E+11,11,District of Columbia,172,114,0,45,363,26,5,1,–,–,–,11.9,20012,    
SHINING STARS MONTESSORI ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Shining Stars Montessori Academy PCS,1100442,1.10008E+11,11,District of Columbia,161,17,0,0,214,32,3,1,–,–,–,18.7,20017,    
SIMON ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Simon ES,1100054,1.10003E+11,11,District of Columbia,188,0,0,1,207,18,0,0,–,–,–,7.81,20032,    
SMOTHERS ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Smothers ES,1100064,1.10003E+11,11,District of Columbia,210,1,0,0,232,20,0,1,–,–,–,9.59,20019,    
SOCIAL JUSTICE PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Social Justice PCS,1100539,1.10012E+11,11,District of Columbia,112,0,0,0,124,12,0,0,–,–,–,7.75,20011,    
SOUSA MS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Sousa MS,1100019,1.10003E+11,11,District of Columbia,211,1,0,3,229,14,0,0,–,–,–,7.76,20019,    
ST. COLETTA SPECIAL EDUCATION PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,St. Coletta Special Education PCS,1100367,1.10006E+11,11,District of Columbia,204,8,0,13,251,25,1,0,–,–,–,10.04,20003,    
STANTON ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Stanton ES,1100013,1.10003E+11,11,District of Columbia,299,0,0,2,306,5,0,0,–,–,–,9.86,20020,    
STATESMEN COLLEGE PREPARATORY  ACADEMY FOR BOYS PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Statesmen College Preparatory  Academy for Boys PCS,1100518,1.10011E+11,11,District of Columbia,298,1,0,4,307,4,0,0,–,–,–,13.35,20032,    
STODDERT ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Stoddert ES,1100050,1.10003E+11,11,District of Columbia,37,257,0,46,447,64,43,0,–,–,–,13.15,20007,    
STUART-HOBSON MS (CAPITOL HILL CLUSTER),District of Columbia,DISTRICT OF COLUMBIA,DC ,Stuart-Hobson MS (Capitol Hill Cluster),1100191,1.10003E+11,11,District of Columbia,345,77,0,10,452,15,4,1,–,–,–,14.58,20002,    
TAKOMA ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Takoma ES,1100011,1.10003E+11,11,District of Columbia,242,53,0,20,483,167,1,0,–,–,–,10.7,20012,    
THADDEUS STEVENS EARLY LEARNING CENTER,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Thaddeus Stevens Early Learning Center,1100531,1.10003E+11,11,District of Columbia,27,40,0,8,86,8,3,0,–,–,–,8.6,20036,    
THE CHILDREN'S GUILD DC PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,The Children's Guild DC PCS,1100499,1.1001E+11,11,District of Columbia,223,1,0,0,230,5,0,1,–,–,–,8.21,20018,    
THE SEED PCS OF WASHINGTON DC,District of Columbia,DISTRICT OF COLUMBIA,DC ,The SEED PCS of Washington DC,1100236,1.10002E+11,11,District of Columbia,242,0,0,0,252,10,0,0,–,–,–,12,20019,    
THE SOJOURNER TRUTH SCHOOL PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,The Sojourner Truth School PCS,1100535,1.10011E+11,11,District of Columbia,176,40,0,15,282,48,3,0,–,–,–,11.14,20018,    
THOMAS ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Thomas ES,1100049,1.10003E+11,11,District of Columbia,253,1,0,1,274,19,0,0,–,–,–,10.19,20019,    
THOMSON ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Thomson ES,1100076,1.10003E+11,11,District of Columbia,89,23,0,8,253,116,15,2,–,–,–,8.58,20005,    
THURGOOD MARSHALL ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Thurgood Marshall Academy PCS,1100249,1.10003E+11,11,District of Columbia,332,0,0,5,338,1,0,0,–,–,–,9.66,20020,    
TRUESDELL ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Truesdell ES,1100075,1.10003E+11,11,District of Columbia,104,24,0,2,383,250,3,0,–,–,–,7.92,20011,    
TUBMAN ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Tubman ES,1100074,1.10003E+11,11,District of Columbia,210,34,0,5,560,308,3,0,–,–,–,8.78,20010,    
TURNER ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Turner ES,1100073,1.10003E+11,11,District of Columbia,439,0,1,0,452,10,2,0,–,–,–,12.53,20032,    
TWO RIVERS PCS - 4TH STREET,District of Columbia,DISTRICT OF COLUMBIA,DC ,Two Rivers PCS - 4th Street,1100279,1.10005E+11,11,District of Columbia,211,105,0,38,390,31,5,0,–,–,–,11.48,20002,    
TWO RIVERS PCS - YOUNG ES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Two Rivers PCS - Young ES,1100498,1.10005E+11,11,District of Columbia,209,105,1,35,378,25,3,0,–,–,–,12.93,20002,    
TWO RIVERS PCS - YOUNG MS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Two Rivers PCS - Young MS,1100533,1.10005E+11,11,District of Columbia,178,32,0,22,254,20,2,0,–,–,–,11.95,20002,    
TYLER ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Tyler ES,1100072,1.10003E+11,11,District of Columbia,338,117,0,24,564,78,6,1,–,–,–,12.26,20003,    
VAN NESS ES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Van Ness ES,1100505,1.10003E+11,11,District of Columbia,263,71,0,32,392,22,2,2,–,–,–,12.65,20003,    
WALKER-JONES EDUCATION CAMPUS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Walker-Jones Education Campus,1100070,1.10003E+11,11,District of Columbia,285,1,0,3,313,16,7,1,–,–,–,8.79,20001,    
WASHINGTON GLOBAL PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Washington Global PCS,1100503,1.1001E+11,11,District of Columbia,207,3,0,0,219,8,1,0,–,–,–,12.17,20024,    
WASHINGTON LATIN PCS - ANNA JULIA COOPER MS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Washington Latin PCS - Anna Julia Cooper MS,1100779,1.10002E+11,11,District of Columbia,102,127,1,24,285,24,7,0,–,–,–,10.56,20011,    
WASHINGTON LATIN PCS - MS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Washington Latin PCS - MS,1100324,1.10002E+11,11,District of Columbia,103,198,0,24,393,55,13,0,–,–,–,16.49,20011,    
WASHINGTON LATIN PCS - UPPER SCHOOL,District of Columbia,DISTRICT OF COLUMBIA,DC ,Washington Latin PCS - Upper School,1100423,1.10002E+11,11,District of Columbia,133,143,0,27,356,44,9,0,–,–,–,8.94,20011,    
WASHINGTON LEADERSHIP ACADEMY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Washington Leadership Academy PCS,1100510,1.1001E+11,11,District of Columbia,324,5,0,7,398,59,2,1,–,–,–,8.65,20017,    
WASHINGTON YU YING PCS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Washington Yu Ying PCS,1100411,1.10008E+11,11,District of Columbia,217,147,0,164,633,54,50,1,–,–,–,10.34,20017,    
WATKINS ES (CAPITOL HILL CLUSTER),District of Columbia,DISTRICT OF COLUMBIA,DC ,Watkins ES (Capitol Hill Cluster),1100048,1.10003E+11,11,District of Columbia,233,113,0,18,397,24,5,4,–,–,–,13.55,20003,    
WHEATLEY EDUCATION CAMPUS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Wheatley Education Campus,1100068,1.10003E+11,11,District of Columbia,246,15,0,0,360,96,3,0,–,–,–,8.02,20002,    
WHITTIER ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Whittier ES,1100065,1.10003E+11,11,District of Columbia,251,50,1,10,413,92,9,0,–,–,–,9.83,20011,    
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) ""Public Elementary/Secondary School Universe Survey"" 2022-23 v.1a  2023-24 v.1a.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
† indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,
– indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,
‡ indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,
